gene_id	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000239374	AC090013.1	2.161600265254825	-4.788987979642345	5.401546845738077	4.500256658748868e-6	0.08667494324750319	2.611989789301825
ENSG00000171552	BCL2L1	-0.3380526548639713	6.050222926521012	-5.005947753239048	1.5070371614396573e-5	0.13247000626897246	2.348618754969376
ENSG00000276053	LAIR1	2.346656067990642	-1.75106464288552	4.902627758774252	2.0633957362768296e-5	0.13247000626897246	1.614393576458979
ENSG00000271581	AL671883.2	-2.0618076414037088	-3.8734323844086034	-4.7015194167991154	3.793912466314947e-5	0.15640314287431034	1.5910351667742244
ENSG00000224631	RPS27AP16	-0.9351421488785475	-0.9437323875124507	-4.458845359521199	7.866287330251422e-5	0.15640314287431034	1.4730202507337173
ENSG00000275748	ARL17B	0.8683668563104945	0.6986318568282051	4.417782168731412	8.89265408475426e-5	0.15640314287431034	1.413867559191023
ENSG00000213648	SULT1A4	2.694213561928617	1.5158141186246383	4.3602065524562095	1.0556806113011601e-4	0.15640314287431034	1.2502959672147087
ENSG00000270906	MTND4P35	-1.808199160947467	-5.287927710710538	-4.59571269233985	5.218427136804895e-5	0.15640314287431034	1.0547547106572202
ENSG00000112486	CCR6	-2.2988963549944788	-3.785247710122729	-4.532202967675709	6.31498088703452e-5	0.15640314287431034	1.0213285363227431
ENSG00000230673	PABPC1P3	2.038571068779042	-4.586970008208412	4.5420906412256095	6.130421538271817e-5	0.15640314287431034	0.8979458698883231
ENSG00000126262	FFAR2	0.7736498409407052	-1.0750355036655728	4.220105630919658	1.599115257518841e-4	0.18117035211654636	0.836160179716865
ENSG00000251600	AC139713.2	1.9169119760344833	-3.4682688578156857	4.52161098079116	6.51876497979986e-5	0.15640314287431034	0.8035918355463965
ENSG00000241146	RPL7P41	1.6110378886578114	-4.095174058359791	4.373755474012348	1.0139578116919084e-4	0.15640314287431034	0.7811689995563125
ENSG00000243710	CFAP57	-0.5091916929802032	0.46654252804303803	-4.190156359049939	1.7468156963102848e-4	0.18690927950520048	0.7772587313451931
ENSG00000244097	RPS4XP17	1.7512621742679935	-3.310694362883141	4.3816226466348445	9.904799086368752e-5	0.15640314287431034	0.6443607488687997
ENSG00000243547	HNRNPKP4	-1.5303061559985083	-3.0226479212122115	-4.226861096048435	1.5675308801269295e-4	0.18117035211654636	0.6330615044976247
ENSG00000123901	GPR83	-0.879685027736385	-1.8406619964704458	-4.114021796003231	2.185068682704278e-4	0.21720110623889446	0.5356919816758756
ENSG00000251184	AL672142.1	-0.8493654575100513	-0.17310283782821292	-4.0837327194339865	2.387870091134709e-4	0.21720110623889446	0.5232744057093708
ENSG00000242457	RBBP4P2	1.6143063882686577	-3.5897090296133185	4.306280158899074	1.2391200634701417e-4	0.17046751730310664	0.5200673786552672
ENSG00000184357	HIST1H1B	-1.4077765688136559	-3.664201126204018	-4.223070289009762	1.5851782763326658e-4	0.18117035211654636	0.4865073460367446
ENSG00000161939	RNASEK-C17orf49	-1.4594273314096167	1.3989066525423268	-4.030510714727233	2.789660624802745e-4	0.21720110623889446	0.3263582968600538
ENSG00000163687	DNASE1L3	-1.825810625364701	-2.8374493974035286	-4.060520005479745	2.5556334536813366e-4	0.21720110623889446	0.17227303266029903
ENSG00000277507	AP000351.2	1.5142442300596375	-2.4276342029274636	4.026361094125549	2.823624986898717e-4	0.21720110623889446	0.14669903876885382
ENSG00000253923	AP002981.1	1.1201114495579674	-2.4356764065095056	3.965047814560816	3.3750631070006675e-4	0.21720110623889446	0.10703653262724444
ENSG00000234371	RPSAP31	1.070721647060497	-4.2773636289028305	3.9922563780344578	3.118484492970151e-4	0.21720110623889446	-0.1351236959748663
ENSG00000182040	USH1G	-1.7598771298249085	-4.318496403552949	-3.988917193174534	3.1489185955454964e-4	0.21720110623889446	-0.15796908221182981
ENSG00000260494	AC002310.3	1.946885755647057	-4.987336479013204	4.01331949587368	2.933017885079248e-4	0.21720110623889446	-0.2115588925651224
ENSG00000108551	RASD1	1.3177447594199385	-1.622519999722869	3.8553097873081286	4.6351273242886394e-4	0.24638492029350692	-0.22501453768326662
ENSG00000204622	HLA-J	1.3735625351612413	-2.6046946568859255	3.8278378209587367	5.016108937124487e-4	0.24771861058722466	-0.2305522350404665
ENSG00000172771	EFCAB12	0.6055156440449914	-0.7856107796795863	3.7884928313170607	5.615165971384758e-4	0.25470508772470585	-0.23434469517425427
ENSG00000128645	HOXD1	1.195127453272948	-0.26770092107589505	3.801126595331073	5.415613586771854e-4	0.2544017504420144	-0.23873647663416886
ENSG00000069812	HES2	-1.1768246626865388	-0.5590636471543635	-3.7840782856323467	5.686562187000182e-4	0.25470508772470585	-0.2477660210177337
ENSG00000244705	AC020658.1	1.72414195850711	-3.960007560415047	3.921032411214486	3.834287441392737e-4	0.21720110623889446	-0.2618007955140582
ENSG00000223439	HLA-J	-1.2027069971256106	-4.624342767617059	-3.9266961491944894	3.771950327597045e-4	0.21720110623889446	-0.2735127034997964
ENSG00000226586	HLA-J	-1.2027069971256106	-4.624342767617059	-3.9266961491944894	3.771950327597045e-4	0.21720110623889446	-0.2735127034997964
ENSG00000228220	HLA-J	-1.2027069971256106	-4.624342767617059	-3.9266961491944894	3.771950327597045e-4	0.21720110623889446	-0.2735127034997964
ENSG00000228524	HLA-J	-1.2027069971256106	-4.624342767617059	-3.9266961491944894	3.771950327597045e-4	0.21720110623889446	-0.2735127034997964
ENSG00000234074	HLA-J	-1.2027069971256106	-4.624342767617059	-3.9266961491944894	3.771950327597045e-4	0.21720110623889446	-0.2735127034997964
ENSG00000259904	ACTG1P15	1.6058713768499704	-5.06247418438279	3.964017102391006	3.385176782305522e-4	0.21720110623889446	-0.2933797885950371
ENSG00000117281	CD160	0.8523490806694245	-1.365631046031438	3.728060412823796	6.672622835869231e-4	0.26783890794458193	-0.3934624035248344
ENSG00000254788	CKLF-CMTM1	-0.7809542370510667	-1.1305535336589072	-3.7245169700636773	6.740279930121838e-4	0.26783890794458193	-0.39369415832958765
ENSG00000224786	CETN4P	1.5075148160292429	-3.4422696308867056	3.8106833817486105	5.269252199126273e-4	0.25371449338793006	-0.4187492121723988
ENSG00000233588	CYP51A1P2	1.8031843553962896	-4.322339475775251	3.8666888892913285	4.485694776809026e-4	0.24638492029350692	-0.4467132932393234
ENSG00000066813	ACSM2B	0.7555192169720568	-0.6997630225535523	3.6804035101524253	7.640206681564472e-4	0.27764222771119196	-0.5064876034972521
ENSG00000111254	AKAP3	1.4932525242940728	-1.536653714182026	3.7258322000470403	6.71509027076045e-4	0.26783890794458193	-0.5075987258770018
ENSG00000247570	SDCBPP2	-2.0393921673273736	-4.736728262717979	-3.8387566479274597	4.8611770359051207e-4	0.24638492029350692	-0.5090625399465143
ENSG00000241278	ENPP7P4	1.4497329068108322	-2.868601724880882	3.7135840206152704	6.953242677689043e-4	0.26783890794458193	-0.5753348355677392
ENSG00000171984	SHLD1	0.5243563673381926	1.2323355847326067	3.6597956631262103	8.099443733998163e-4	0.28362779330328114	-0.6282042435113295
ENSG00000177238	TRIM72	0.4956559216837614	0.3681753392086212	3.6108757583302573	9.298951111882563e-4	0.3024841624764449	-0.7064503175490708
ENSG00000231821	NPM1P48	-1.4679211717678626	-4.912708576137411	-3.741128419446177	6.428748078536256e-4	0.26783890794458193	-0.7104138958609516
ENSG00000227382	EIF4A2P2	-1.6883843391597777	-4.012534433297015	-3.7172142954505043	6.881816113528353e-4	0.26783890794458193	-0.7343136732257864
ENSG00000214541	RPS4XP3	-1.8043304068453656	-3.392648215960657	-3.6683269093755513	7.906179820142505e-4	0.28198708025174934	-0.7378908729490101
ENSG00000185482	STAC3	1.0021975784147983	-1.2526418127695347	3.579580752211767	0.0010154387687413148	0.3024841624764449	-0.7649702371271054
ENSG00000256612	CYP2B7P	1.6000012604892397	-3.3318296677024515	3.629414534485983	8.825463890169063e-4	0.2969845940555844	-0.7933128038708377
ENSG00000163704	PRRT3	0.37716845590307324	1.6994921001714924	3.634826279057965	8.691693974062192e-4	0.2969845940555844	-0.8196627302366215
ENSG00000197191	CYSRT1	0.8071218418371736	-0.6238910752606822	3.55051347627408	0.0011016550374342248	0.3075054495794662	-0.8232486317044785
ENSG00000213970	AC006122.1	-1.2467968139771823	-4.941221634090288	-3.682333248689438	7.598516366500452e-4	0.27764222771119196	-0.8285171562136071
ENSG00000095383	TBC1D2	-0.446413115583014	2.1968049575797917	-3.6928806802732312	7.374508216037532e-4	0.27764222771119196	-0.8308663104902827
ENSG00000267544	AC007229.1	-1.4253701769650187	-3.9041120617460567	-3.6012288321799493	9.554943573202887e-4	0.3024841624764449	-0.8723990055463684
ENSG00000277224	HIST1H2BF	1.3886985711151172	-3.314856518637444	3.5746841934857057	0.0010294920731010147	0.3024841624764449	-0.8735872683031758
ENSG00000147481	SNTG1	-1.5361180305418367	-3.84078305701106	-3.5962568583735863	9.689522981738345e-4	0.3024841624764449	-0.88209865981469
ENSG00000129474	AJUBA	-0.6084838683120624	4.228810043180341	-3.8407138615086818	4.8339010208792556e-4	0.24638492029350692	-0.8859191605853809
ENSG00000226318	RPS3AP38	-1.6091992780987217	-3.583059229169164	-3.572149793408357	0.0010368393550488075	0.3024841624764449	-0.9008299410775384
ENSG00000105617	LENG1	-0.43310018974063624	1.0987041979154937	-3.5289105415228987	0.0011702562162517083	0.3127625048398582	-1.0041334944600058
ENSG00000276569	AL138709.1	-1.1281162613485427	-3.7473855605726585	-3.5239329431549757	0.00118663620046899	0.3127625048398582	-1.0138498981847182
ENSG00000267168	AC005837.2	2.1585923432825123	-3.7064860194983344	3.5886237010949853	9.899699641425644e-4	0.3024841624764449	-1.0255034260248612
ENSG00000112333	NR2E1	1.4280502207301895	-4.762905337829547	3.5835830853043436	0.001004089493978755	0.3024841624764449	-1.0359339504024643
ENSG00000176134	AL445665.1	3.050907044534457	-4.452528464746549	3.6247062366217913	8.943461295547193e-4	0.2969845940555844	-1.0592523464868906
ENSG00000188710	QRFP	0.9991232461494253	-2.468903612654321	3.4558038462964933	0.001434240972657434	0.3328130257033997	-1.0596427041778682
ENSG00000267640	AC016582.3	0.5258481916009181	0.07682886397644145	3.459929151355756	0.0014179328857415465	0.3328130257033997	-1.060325041658916
ENSG00000244593	AC025062.1	-1.8362002417348453	-5.080026380482305	-3.566887924972585	0.0010522553938692527	0.3024841624764449	-1.0734792599122924
ENSG00000257017	HP	-1.2872311116408701	-2.834438237071753	-3.4574919829566877	0.001427545800994303	0.3328130257033997	-1.0888379881438555
ENSG00000260690	CYCSP39	1.0786807044795874	-2.7167713926007635	3.4695981950923835	0.0013804044175342635	0.3328130257033997	-1.0944448390805288
ENSG00000178997	EXD1	-1.0585374175818831	-2.761441960078731	-3.4490527057874676	0.00146131875731086	0.3350595150691329	-1.0995907362816455
ENSG00000229022	AL365366.1	-1.4710295283779793	-4.5033030623242105	-3.5344771249930655	0.001152195874023527	0.3127625048398582	-1.1232598065687087
ENSG00000270518	AC008626.1	1.5374490115257844	-4.94326373014042	3.528604017254892	0.0011712585869333983	0.3127625048398582	-1.1379244965911264
ENSG00000228049	POLR2J2	0.9337923302774209	2.186955940962607	3.5055604401561933	0.0012490268917353417	0.32075010579763574	-1.1393403382042155
ENSG00000198488	B3GNT6	-1.3393811727783298	-3.842077378243538	-3.4812291298714273	0.0013365249611271247	0.3328130257033997	-1.1549540955727577
