ens_gene	pval	qval	b	se_b	mean_obs	var_obs	sigma_q_sq	sigma_sq	smooth_sigma_sq	smooth_sigma_sq_pmax	ext_gene
ENSG00000114019	3.55213595307939e-14	5.8120048464285e-10	-0.478852549878534	0.0632029888453544	5.13945146015145	1.49225093633871	0.00521549928456017	0.0307360609063138	0.00730145928216365	0.0307360609063138	AMOTL2
ENSG00000183853	1.46476452579362e-12	7.98882572367841e-09	-0.20257840979933	0.0286217230509715	9.14977953956824	0.307386923080208	0.000196194163486685	0.00717663311017195	0.00338606580113178	0.00717663311017195	KIRREL1
ENSG00000225648	1.13951329844829e-12	7.98882572367841e-09	-0.173680190525149	0.02441897334372	6.46557431601547	0.202203754088905	0.00176349401447828	0.00309495984430419	0.0036030823179735	0.0036030823179735	SBDSP1
ENSG00000105137	7.3196854670843e-12	2.99411734031083e-08	-0.169136554131218	0.024686888254975	7.32666473947041	0.277844458324129	0.00217995193167422	0.00330503013374838	0.00314778751522132	0.00330503013374838	SYDE1
ENSG00000119408	1.06278196557876e-11	3.47784770415995e-08	-0.156095097028873	0.0229628167921531	8.03648107710477	0.0934793557337886	0.00155759607289266	0.00318802252237722	0.00309761568771454	0.00318802252237722	NEK6
ENSG00000165389	1.83439614612559e-10	5.00239829048449e-07	0.159494727514316	0.0250203458498733	7.65784480504091	0.197866234896762	0.000527219063955502	0.00510694029406996	0.00310370359460012	0.00510694029406996	SPTSSA
ENSG00000164683	9.82489901294269e-09	2.29649996642526e-05	0.214584716729304	0.0374250148116034	6.08219281963751	1.9359991126805	0.00852496378739363	0.00400798923543433	0.004080721815445	0.004080721815445	HEY1
ENSG00000164741	2.92649880622531e-08	5.98542168343231e-05	-0.198267747948922	0.0357511149008076	6.19807673841889	1.00659548528234	0.00599478038814049	0.00550849956171625	0.00389594340886463	0.00550849956171625	DLC1
ENSG00000150457	6.51282915692986e-08	0.000118403234072985	-0.133347778394299	0.0246752187967727	6.57353024343758	0.143469779094527	0.00196826443191914	0.00218583339058438	0.0035115333720983	0.0035115333720983	LATS2
ENSG00000134013	1.24008683653831e-07	0.000184457280176725	-0.271548550376478	0.0513568334477943	6.10544843041342	2.57893540317643	0.0061424762974017	0.0175952427786586	0.00404225178274829	0.0175952427786586	LOXL2
ENSG00000150938	1.14956926532965e-07	0.000184457280176725	-0.337391276940529	0.0636426627556688	4.15812606403325	3.92556718529795	0.0191161882575087	0.0171202062084721	0.0173373084461775	0.0173373084461775	CRIM1
ENSG00000064666	1.40277105763693e-07	0.000191267833708795	-0.195301963550198	0.0370951999855192	6.98264107343932	0.600211541744569	0.00179402724843406	0.0105904575092569	0.00326832219232626	0.0105904575092569	CNN2
ENSG00000065308	2.21108098698685e-07	0.000258412193636278	-0.100862223644349	0.0194690098989463	8.33232255283693	0.489554929246722	0.000283525062407036	0.0030558691637577	0.00312785605560038	0.00312785605560038	TRAM2
