ens_gene	pval	qval	b	se_b	mean_obs	var_obs	sigma_q_sq	sigma_sq	smooth_sigma_sq	smooth_sigma_sq_pmax	ext_gene
ENSMUSG00000051159	2.89327603465662e-18	3.98027984087711e-14	0.765512429096115	0.0878328554006358	6.04016973533352	0.24230672184397	0.00171264260295312	0.00985927312879037	0.00490599764873039	0.00985927312879037	CITED1
ENSMUSG00000028195	1.09143458174466e-15	7.50743277053063e-12	-0.630861704746111	0.0786991959508252	6.66313462623677	0.2911586056903	0.00167907198012261	0.00761127318483697	0.00422953056997878	0.00761127318483697	CYR61
ENSMUSG00000032348	1.18336169854032e-12	5.4265022956064e-09	0.523194649828737	0.0736137137100967	5.85823527458044	0.166241438762761	0.00289996540798785	0.0012483666692851	0.00522850286130026	0.00522850286130026	GSTA4
ENSMUSG00000020044	1.0986693941984e-11	3.62665167211719e-08	-0.713023000428117	0.104965218211325	5.74118103447826	0.675726893656104	0.00262932265804393	0.0138972228931827	0.00546930450775128	0.0138972228931827	TIMP3
ENSMUSG00000042379	1.31811138769978e-11	3.62665167211719e-08	-0.440049513641652	0.0650322425729126	6.39621580210478	0.204289611371186	0.00188219785909207	0.00135387392357863	0.00446159100200115	0.00446159100200115	ESM1
ENSMUSG00000044548	1.80770550602898e-11	4.14476744107344e-08	-1.2217127746292	0.181781750195516	3.59665346223321	0.36244509763891	0.0283161574086315	-0.000520912288860916	0.0212507496475861	0.0212507496475861	DACT1
ENSMUSG00000025491	3.41126208371777e-11	6.70410464081505e-08	0.431927753730792	0.0651708003986467	7.16775339102714	0.387409623056971	0.00128102812645685	0.00508982171044352	0.00389439996876512	0.00508982171044352	IFITM1
ENSMUSG00000019997	6.08151996460691e-11	1.04579337691372e-07	-0.64627963876815	0.0987935310079651	6.26681850816494	0.272439622421717	0.00366446931652811	0.0109757733370045	0.00460588610777078	0.0109757733370045	CTGF
ENSMUSG00000067367	1.07174912002441e-10	1.6382280715751e-07	-0.370867532494046	0.0574412417247241	6.80563472814718	0.140141846746405	0.00081782791693157	0.00275232281013419	0.00413141645938571	0.00413141645938571	LYAR
ENSMUSG00000030523	1.85327807371858e-10	2.54955464601466e-07	-0.453400009192029	0.0711435381364834	8.54836121160593	1.05012566693383	0.000470294825557728	0.00712180970230818	0.003942467010431	0.00712180970230818	TRPM1
ENSMUSG00000001506	3.47920912554253e-10	4.35122544909896e-07	-0.757182363665347	0.120651816672321	3.90460292129329	0.270626326096406	0.00547857730201584	0.0121030659442531	0.0163567139974812	0.0163567139974812	COL1A1
ENSMUSG00000046807	5.87411713123962e-10	6.73418578120529e-07	0.597949906400354	0.0965405093575265	4.84589733357725	0.127285722882961	0.00538185934329895	0.0049098287847481	0.00859824557721704	0.00859824557721704	LRRC75B
ENSMUSG00000041695	1.01679069970508e-08	1.0759992042956e-05	-0.499427206552666	0.0871919651207927	5.60170468454591	0.255897678039581	0.00463869322386802	0.00676496494857027	0.00579682540780184	0.00676496494857027	KCNJ2
ENSMUSG00000017144	1.3950115796958e-08	1.27941162012501e-05	-0.5082709185272	0.0895789428040858	5.46695088811754	0.0822391901062675	0.00587384883783361	-0.00315897983369305	0.0061627316530129	0.0061627316530129	RND3
ENSMUSG00000021765	1.33859479852871e-08	1.27941162012501e-05	-0.710150516686681	0.125003086372369	4.69369322393195	0.279337266796437	0.0140104378411393	-0.000312703763131934	0.00942821956278756	0.00942821956278756	FST
ENSMUSG00000003849	1.59368998144449e-08	1.37027456717074e-05	0.932009648846265	0.164923610199545	5.13686985294682	0.246107634254483	0.00723504126540264	0.0335646545364748	0.00727376336553098	0.0335646545364748	NQO1
ENSMUSG00000025762	2.50326599048801e-08	2.02573119006726e-05	-0.407342219527801	0.0730915158813648	6.11907917548627	0.169235838655398	0.00322308428365584	0.00388904423406722	0.00479047025709787	0.00479047025709787	LARP1B
